gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Average_Score,Pass/Fail,Performance_Category
female,group D,some high school,standard,Not Completed,73,84,85,242,80.67,Pass,Excellent
male,group E,some college,standard,Not Completed,84,77,71,232,77.33,Pass,Good
female,group C,some college,free/reduced,completed,45,73,70,188,62.67,Pass,Good
male,group D,some high school,standard,Not Completed,74,74,72,220,73.33,Pass,Good
female,group D,some college,standard,completed,82,97,96,275,91.67,Pass,Excellent
female,group D,bachelor's degree,standard,Not Completed,59,70,73,202,67.33,Pass,Good
male,group E,associate's degree,free/reduced,Not Completed,46,43,41,130,43.33,Pass,Average
female,group D,some high school,standard,Not Completed,80,90,82,252,84,Pass,Excellent
female,group D,master's degree,free/reduced,completed,85,95,100,280,93.33,Pass,Excellent
female,group A,some high school,standard,Not Completed,71,83,77,231,77,Pass,Good
male,group A,bachelor's degree,standard,Not Completed,66,64,62,192,64,Pass,Good
female,group B,associate's degree,standard,Not Completed,80,86,83,249,83,Pass,Excellent
male,group C,associate's degree,standard,completed,87,100,95,282,94,Pass,Excellent
male,group C,master's degree,free/reduced,Not Completed,79,81,71,231,77,Pass,Good
female,group E,some high school,free/reduced,Not Completed,38,49,45,132,44,Fail,Average
female,group A,some high school,free/reduced,Not Completed,38,43,43,124,41.33,Fail,Average
female,group E,some college,standard,Not Completed,67,76,75,218,72.67,Pass,Good
female,group E,bachelor's degree,standard,Not Completed,64,73,70,207,69,Pass,Good
female,group C,associate's degree,free/reduced,Not Completed,57,78,67,202,67.33,Pass,Good
female,group D,high school,standard,Not Completed,62,64,64,190,63.33,Pass,Good
male,group D,master's degree,standard,Not Completed,73,70,75,218,72.67,Pass,Good
male,group E,some high school,free/reduced,completed,73,67,59,199,66.33,Pass,Good
female,group D,some college,standard,Not Completed,77,68,77,222,74,Pass,Good
male,group E,some college,standard,Not Completed,76,67,67,210,70,Pass,Good
male,group C,associate's degree,standard,completed,57,54,56,167,55.67,Pass,Average
female,group C,some high school,standard,completed,65,74,77,216,72,Pass,Good
male,group A,high school,free/reduced,Not Completed,48,45,41,134,44.67,Pass,Average
female,group B,high school,free/reduced,Not Completed,50,67,63,180,60,Pass,Good
female,group C,associate's degree,standard,Not Completed,85,89,95,269,89.67,Pass,Excellent
male,group B,some high school,standard,Not Completed,74,63,57,194,64.67,Pass,Good
male,group D,some high school,standard,Not Completed,60,59,54,173,57.67,Pass,Average
female,group C,some high school,standard,completed,59,54,67,180,60,Pass,Good
male,group A,some college,standard,Not Completed,53,43,43,139,46.33,Pass,Average
female,group A,some college,free/reduced,Not Completed,49,65,55,169,56.33,Pass,Average
female,group D,high school,standard,completed,88,99,100,287,95.67,Pass,Excellent
female,group C,high school,standard,Not Completed,54,59,62,175,58.33,Pass,Average
female,group C,some high school,standard,Not Completed,63,73,68,204,68,Pass,Good
male,group B,associate's degree,standard,completed,65,65,63,193,64.33,Pass,Good
female,group B,associate's degree,standard,Not Completed,82,80,77,239,79.67,Pass,Good
female,group D,high school,free/reduced,completed,52,57,56,165,55,Pass,Average
male,group D,associate's degree,standard,completed,87,84,85,256,85.33,Pass,Excellent
female,group D,master's degree,standard,completed,70,71,74,215,71.67,Pass,Good
male,group E,some college,standard,completed,84,83,78,245,81.67,Pass,Excellent
male,group D,associate's degree,standard,Not Completed,71,66,60,197,65.67,Pass,Good
male,group B,some high school,standard,completed,63,67,67,197,65.67,Pass,Good
female,group C,bachelor's degree,free/reduced,completed,51,72,79,202,67.33,Pass,Good
male,group E,high school,standard,Not Completed,84,73,69,226,75.33,Pass,Good
male,group C,bachelor's degree,standard,completed,71,74,68,213,71,Pass,Good
male,group C,associate's degree,standard,Not Completed,74,73,67,214,71.33,Pass,Good
male,group D,some college,standard,Not Completed,68,59,62,189,63,Pass,Good
male,group E,high school,free/reduced,completed,57,56,54,167,55.67,Pass,Average
female,group C,associate's degree,free/reduced,completed,82,93,93,268,89.33,Pass,Excellent
female,group D,high school,standard,completed,57,58,64,179,59.67,Pass,Average
female,group D,master's degree,free/reduced,completed,47,58,67,172,57.33,Pass,Average
female,group A,some high school,standard,completed,59,85,80,224,74.67,Pass,Good
male,group B,some college,free/reduced,Not Completed,41,39,34,114,38,Fail,Needs Improvement
female,group C,some college,free/reduced,Not Completed,62,67,62,191,63.67,Pass,Good
male,group C,bachelor's degree,standard,Not Completed,86,83,86,255,85,Pass,Excellent
male,group C,some high school,free/reduced,Not Completed,69,71,65,205,68.33,Pass,Good
male,group A,some high school,free/reduced,Not Completed,65,59,53,177,59,Pass,Average
male,group C,some high school,free/reduced,Not Completed,68,63,54,185,61.67,Pass,Good
male,group C,associate's degree,free/reduced,Not Completed,64,66,59,189,63,Pass,Good
female,group C,high school,standard,Not Completed,61,72,70,203,67.67,Pass,Good
male,group C,high school,standard,Not Completed,61,56,55,172,57.33,Pass,Average
female,group A,some high school,free/reduced,Not Completed,47,59,50,156,52,Pass,Average
male,group C,some high school,standard,Not Completed,73,66,66,205,68.33,Pass,Good
male,group C,some college,free/reduced,completed,50,48,53,151,50.33,Pass,Average
male,group D,associate's degree,standard,Not Completed,75,68,64,207,69,Pass,Good
male,group D,associate's degree,free/reduced,Not Completed,75,66,73,214,71.33,Pass,Good
male,group C,high school,standard,Not Completed,70,56,51,177,59,Pass,Average
male,group D,some high school,standard,completed,89,88,82,259,86.33,Pass,Excellent
female,group C,some college,standard,completed,67,81,79,227,75.67,Pass,Good
female,group D,high school,standard,Not Completed,78,81,80,239,79.67,Pass,Good
female,group A,some high school,free/reduced,Not Completed,59,73,69,201,67,Pass,Good
female,group B,associate's degree,standard,Not Completed,73,83,76,232,77.33,Pass,Good
male,group A,some high school,free/reduced,Not Completed,79,82,73,234,78,Pass,Good
female,group C,some high school,standard,completed,67,74,77,218,72.67,Pass,Good
male,group D,some college,free/reduced,Not Completed,69,66,60,195,65,Pass,Good
male,group C,high school,standard,completed,86,81,80,247,82.33,Pass,Excellent
male,group B,high school,standard,Not Completed,47,46,42,135,45,Pass,Average
male,group B,associate's degree,standard,Not Completed,81,73,72,226,75.33,Pass,Good
female,group C,some college,free/reduced,completed,64,85,85,234,78,Pass,Good
female,group E,some college,standard,Not Completed,100,92,97,289,96.33,Pass,Excellent
female,group C,associate's degree,free/reduced,Not Completed,65,77,74,216,72,Pass,Good
male,group C,some college,free/reduced,Not Completed,65,58,49,172,57.33,Pass,Average
female,group C,associate's degree,free/reduced,Not Completed,53,61,62,176,58.67,Pass,Average
male,group C,bachelor's degree,free/reduced,Not Completed,37,56,47,140,46.67,Fail,Average
female,group D,bachelor's degree,standard,Not Completed,79,89,89,257,85.67,Pass,Excellent
male,group D,associate's degree,free/reduced,Not Completed,53,54,48,155,51.67,Pass,Average
female,group E,bachelor's degree,standard,Not Completed,100,100,100,300,100,Pass,Excellent
male,group B,high school,standard,completed,72,65,68,205,68.33,Pass,Good
male,group C,bachelor's degree,free/reduced,Not Completed,53,58,55,166,55.33,Pass,Average
male,group B,some college,free/reduced,Not Completed,54,54,45,153,51,Pass,Average
female,group E,some college,standard,Not Completed,71,70,76,217,72.33,Pass,Good
female,group C,some college,free/reduced,Not Completed,77,90,91,258,86,Pass,Excellent
male,group A,bachelor's degree,standard,completed,75,58,62,195,65,Pass,Good
female,group C,some college,standard,Not Completed,84,87,91,262,87.33,Pass,Excellent
female,group D,associate's degree,free/reduced,Not Completed,26,31,38,95,31.67,Fail,Needs Improvement
male,group A,high school,free/reduced,completed,72,67,65,204,68,Pass,Good
female,group A,high school,free/reduced,completed,77,88,85,250,83.33,Pass,Excellent
male,group C,some college,standard,Not Completed,91,74,76,241,80.33,Pass,Excellent
female,group C,associate's degree,standard,completed,83,85,90,258,86,Pass,Excellent
female,group C,high school,standard,Not Completed,63,69,74,206,68.67,Pass,Good
female,group C,associate's degree,standard,completed,68,86,84,238,79.33,Pass,Good
female,group D,some high school,standard,Not Completed,59,67,61,187,62.33,Pass,Good
female,group B,associate's degree,standard,completed,90,90,91,271,90.33,Pass,Excellent
female,group D,bachelor's degree,standard,completed,71,76,83,230,76.67,Pass,Good
male,group E,bachelor's degree,standard,completed,76,62,66,204,68,Pass,Good
male,group D,associate's degree,standard,Not Completed,80,68,72,220,73.33,Pass,Good
female,group D,master's degree,standard,Not Completed,55,64,70,189,63,Pass,Good
male,group E,associate's degree,standard,Not Completed,76,71,67,214,71.33,Pass,Good
male,group B,high school,standard,completed,73,71,68,212,70.67,Pass,Good
female,group D,associate's degree,free/reduced,Not Completed,52,59,56,167,55.67,Pass,Average
male,group C,some college,free/reduced,Not Completed,68,68,61,197,65.67,Pass,Good
male,group A,high school,standard,Not Completed,59,52,46,157,52.33,Pass,Average
female,group B,associate's degree,standard,Not Completed,49,52,54,155,51.67,Pass,Average
male,group C,high school,standard,Not Completed,70,74,71,215,71.67,Pass,Good
male,group D,some college,free/reduced,Not Completed,61,47,56,164,54.67,Pass,Average
female,group C,associate's degree,free/reduced,Not Completed,60,75,74,209,69.67,Pass,Good
male,group B,some high school,standard,completed,64,53,57,174,58,Pass,Average
male,group A,associate's degree,free/reduced,completed,79,82,82,243,81,Pass,Excellent
female,group A,associate's degree,free/reduced,Not Completed,65,85,76,226,75.33,Pass,Good
female,group C,associate's degree,standard,Not Completed,64,64,70,198,66,Pass,Good
female,group C,some college,standard,Not Completed,83,83,90,256,85.33,Pass,Excellent
female,group C,bachelor's degree,standard,Not Completed,81,88,90,259,86.33,Pass,Excellent
female,group B,high school,standard,Not Completed,54,64,68,186,62,Pass,Good
male,group D,high school,standard,completed,68,64,66,198,66,Pass,Good
female,group C,some college,standard,Not Completed,54,48,52,154,51.33,Pass,Average
female,group D,some college,free/reduced,completed,59,78,76,213,71,Pass,Good
female,group B,some high school,standard,Not Completed,66,69,68,203,67.67,Pass,Good
male,group E,some college,standard,Not Completed,76,71,72,219,73,Pass,Good
female,group D,master's degree,standard,Not Completed,74,79,82,235,78.33,Pass,Good
female,group B,associate's degree,standard,completed,94,87,92,273,91,Pass,Excellent
male,group C,some college,free/reduced,Not Completed,63,61,54,178,59.33,Pass,Average
female,group E,associate's degree,standard,completed,95,89,92,276,92,Pass,Excellent
female,group D,master's degree,free/reduced,Not Completed,40,59,54,153,51,Pass,Average
female,group B,some high school,standard,Not Completed,82,82,80,244,81.33,Pass,Excellent
male,group A,high school,standard,Not Completed,68,70,66,204,68,Pass,Good
male,group B,bachelor's degree,free/reduced,Not Completed,55,59,54,168,56,Pass,Average
male,group C,master's degree,standard,Not Completed,79,78,77,234,78,Pass,Good
female,group C,bachelor's degree,standard,Not Completed,86,92,87,265,88.33,Pass,Excellent
male,group D,some college,standard,Not Completed,76,71,73,220,73.33,Pass,Good
male,group A,some high school,standard,Not Completed,64,50,43,157,52.33,Pass,Average
male,group D,some high school,free/reduced,Not Completed,62,49,52,163,54.33,Pass,Average
female,group B,some high school,standard,completed,54,61,62,177,59,Pass,Average
female,group B,master's degree,free/reduced,completed,77,97,94,268,89.33,Pass,Excellent
female,group C,some high school,standard,completed,76,87,85,248,82.67,Pass,Excellent
female,group D,some college,standard,Not Completed,74,89,84,247,82.33,Pass,Excellent
female,group E,some college,standard,completed,66,74,73,213,71,Pass,Good
female,group D,some high school,standard,completed,66,78,78,222,74,Pass,Good
female,group B,high school,free/reduced,completed,67,78,79,224,74.67,Pass,Good
male,group D,some college,standard,Not Completed,71,49,52,172,57.33,Pass,Average
female,group C,associate's degree,standard,Not Completed,91,86,84,261,87,Pass,Excellent
male,group D,bachelor's degree,standard,Not Completed,69,58,57,184,61.33,Pass,Good
male,group C,master's degree,free/reduced,Not Completed,54,59,50,163,54.33,Pass,Average
male,group C,high school,standard,completed,53,52,49,154,51.33,Pass,Average
male,group E,some college,standard,Not Completed,68,60,59,187,62.33,Pass,Good
male,group C,some high school,free/reduced,completed,56,61,60,177,59,Pass,Average
female,group C,high school,free/reduced,Not Completed,36,53,43,132,44,Fail,Average
female,group D,bachelor's degree,free/reduced,Not Completed,29,41,47,117,39,Fail,Needs Improvement
female,group C,associate's degree,standard,Not Completed,62,74,70,206,68.67,Pass,Good
female,group C,associate's degree,standard,completed,68,67,73,208,69.33,Pass,Good
female,group C,some high school,standard,Not Completed,47,54,53,154,51.33,Pass,Average
male,group E,associate's degree,standard,completed,62,61,58,181,60.33,Pass,Good
female,group E,associate's degree,standard,completed,79,88,94,261,87,Pass,Excellent
male,group B,high school,standard,completed,73,69,68,210,70,Pass,Good
female,group C,bachelor's degree,free/reduced,completed,66,83,83,232,77.33,Pass,Good
male,group C,associate's degree,standard,completed,51,60,58,169,56.33,Pass,Average
female,group D,high school,standard,Not Completed,51,66,62,179,59.67,Pass,Average
male,group E,bachelor's degree,standard,completed,85,66,71,222,74,Pass,Good
male,group A,associate's degree,standard,completed,97,92,86,275,91.67,Pass,Excellent
male,group C,high school,standard,completed,75,69,68,212,70.67,Pass,Good
male,group D,associate's degree,free/reduced,completed,79,82,80,241,80.33,Pass,Excellent
female,group C,associate's degree,standard,Not Completed,81,77,79,237,79,Pass,Good
female,group D,associate's degree,standard,Not Completed,82,95,89,266,88.67,Pass,Excellent
female,group D,master's degree,standard,Not Completed,64,63,66,193,64.33,Pass,Good
male,group E,some high school,free/reduced,completed,78,83,80,241,80.33,Pass,Excellent
female,group A,some high school,standard,completed,92,100,97,289,96.33,Pass,Excellent
male,group C,high school,standard,completed,72,67,64,203,67.67,Pass,Good
female,group C,high school,free/reduced,Not Completed,62,67,64,193,64.33,Pass,Good
male,group C,master's degree,standard,Not Completed,79,72,69,220,73.33,Pass,Good
male,group C,some high school,free/reduced,Not Completed,79,76,65,220,73.33,Pass,Good
male,group B,bachelor's degree,free/reduced,completed,87,90,88,265,88.33,Pass,Excellent
female,group B,associate's degree,standard,Not Completed,40,48,50,138,46,Pass,Average
male,group D,some college,free/reduced,Not Completed,77,62,64,203,67.67,Pass,Good
male,group E,associate's degree,standard,Not Completed,53,45,40,138,46,Pass,Average
female,group C,some college,free/reduced,Not Completed,32,39,33,104,34.67,Fail,Needs Improvement
female,group C,associate's degree,standard,completed,55,72,79,206,68.67,Pass,Good
male,group C,master's degree,free/reduced,Not Completed,61,67,66,194,64.67,Pass,Good
female,group B,associate's degree,free/reduced,Not Completed,53,70,70,193,64.33,Pass,Good
male,group D,some high school,standard,Not Completed,73,66,62,201,67,Pass,Good
female,group D,some college,standard,completed,74,75,79,228,76,Pass,Good
female,group C,some college,standard,Not Completed,63,74,74,211,70.33,Pass,Good
male,group C,bachelor's degree,standard,completed,96,90,92,278,92.67,Pass,Excellent
female,group D,some college,free/reduced,completed,63,80,80,223,74.33,Pass,Good
male,group B,bachelor's degree,free/reduced,Not Completed,48,51,46,145,48.33,Pass,Average
male,group B,associate's degree,standard,Not Completed,48,43,45,136,45.33,Pass,Average
female,group E,bachelor's degree,free/reduced,completed,92,100,100,292,97.33,Pass,Excellent
female,group D,master's degree,free/reduced,completed,61,71,78,210,70,Pass,Good
male,group B,high school,free/reduced,Not Completed,63,48,47,158,52.67,Pass,Average
male,group D,bachelor's degree,free/reduced,Not Completed,68,68,67,203,67.67,Pass,Good
male,group B,some college,standard,completed,71,75,70,216,72,Pass,Good
male,group A,bachelor's degree,standard,Not Completed,91,96,92,279,93,Pass,Excellent
female,group C,some college,standard,Not Completed,53,62,56,171,57,Pass,Average
female,group C,high school,free/reduced,completed,50,66,64,180,60,Pass,Good
female,group E,high school,standard,Not Completed,74,81,71,226,75.33,Pass,Good
male,group A,associate's degree,free/reduced,completed,40,55,53,148,49.33,Pass,Average
male,group A,some college,standard,completed,61,51,52,164,54.67,Pass,Average
female,group B,high school,standard,Not Completed,81,91,89,261,87,Pass,Excellent
female,group B,some college,free/reduced,completed,48,56,58,162,54,Pass,Average
female,group D,master's degree,standard,Not Completed,53,61,68,182,60.67,Pass,Good
female,group D,some high school,standard,Not Completed,81,97,96,274,91.33,Pass,Excellent
female,group E,some high school,standard,Not Completed,77,79,80,236,78.67,Pass,Good
female,group D,bachelor's degree,free/reduced,Not Completed,63,73,78,214,71.33,Pass,Good
female,group D,associate's degree,standard,completed,73,75,80,228,76,Pass,Good
female,group D,some college,standard,Not Completed,69,77,77,223,74.33,Pass,Good
female,group C,associate's degree,standard,Not Completed,65,76,76,217,72.33,Pass,Good
female,group A,high school,standard,Not Completed,55,73,73,201,67,Pass,Good
female,group C,bachelor's degree,free/reduced,Not Completed,44,63,62,169,56.33,Pass,Average
female,group C,some college,standard,Not Completed,54,64,65,183,61,Pass,Good
female,group A,some high school,standard,Not Completed,48,66,65,179,59.67,Pass,Average
male,group C,some college,free/reduced,Not Completed,58,57,54,169,56.33,Pass,Average
male,group A,some high school,standard,Not Completed,71,62,50,183,61,Pass,Good
male,group E,bachelor's degree,standard,Not Completed,68,68,64,200,66.67,Pass,Good
female,group E,high school,standard,Not Completed,74,76,73,223,74.33,Pass,Good
female,group C,bachelor's degree,standard,completed,92,100,99,291,97,Pass,Excellent
female,group C,bachelor's degree,standard,completed,56,79,72,207,69,Pass,Good
male,group B,high school,free/reduced,Not Completed,30,24,15,69,23,Fail,Needs Improvement
male,group A,some high school,standard,Not Completed,53,54,48,155,51.67,Pass,Average
female,group D,high school,standard,Not Completed,69,77,73,219,73,Pass,Good
female,group D,some high school,standard,Not Completed,65,82,81,228,76,Pass,Good
female,group D,master's degree,standard,Not Completed,54,60,63,177,59,Pass,Average
female,group C,high school,standard,Not Completed,29,29,30,88,29.33,Fail,Needs Improvement
female,group E,some college,standard,Not Completed,76,78,80,234,78,Pass,Good
male,group D,high school,free/reduced,Not Completed,60,57,51,168,56,Pass,Average
male,group D,master's degree,free/reduced,completed,84,89,90,263,87.67,Pass,Excellent
male,group C,some high school,standard,Not Completed,75,72,62,209,69.67,Pass,Good
female,group C,associate's degree,standard,Not Completed,85,84,82,251,83.67,Pass,Excellent
female,group C,master's degree,free/reduced,Not Completed,40,58,54,152,50.67,Pass,Average
female,group E,some college,standard,Not Completed,61,64,62,187,62.33,Pass,Good
female,group B,associate's degree,standard,Not Completed,58,63,65,186,62,Pass,Good
male,group D,some college,free/reduced,completed,69,60,63,192,64,Pass,Good
female,group C,some college,standard,Not Completed,58,59,66,183,61,Pass,Good
male,group C,bachelor's degree,standard,completed,94,90,91,275,91.67,Pass,Excellent
female,group C,associate's degree,standard,Not Completed,65,77,74,216,72,Pass,Good
female,group A,associate's degree,standard,Not Completed,82,93,93,268,89.33,Pass,Excellent
female,group C,high school,standard,Not Completed,60,68,72,200,66.67,Pass,Good
female,group E,bachelor's degree,standard,Not Completed,37,45,38,120,40,Fail,Average
male,group D,bachelor's degree,standard,Not Completed,88,78,83,249,83,Pass,Excellent
male,group D,master's degree,standard,Not Completed,95,81,84,260,86.67,Pass,Excellent
male,group C,associate's degree,free/reduced,completed,65,73,68,206,68.67,Pass,Good
female,group C,high school,free/reduced,Not Completed,35,61,54,150,50,Fail,Average
male,group B,bachelor's degree,free/reduced,Not Completed,62,63,56,181,60.33,Pass,Good
male,group C,high school,free/reduced,completed,58,51,52,161,53.67,Pass,Average
male,group A,some college,standard,completed,100,96,86,282,94,Pass,Excellent
female,group E,bachelor's degree,free/reduced,Not Completed,61,58,62,181,60.33,Pass,Good
male,group D,some college,standard,completed,100,97,99,296,98.67,Pass,Excellent
male,group B,associate's degree,free/reduced,completed,69,70,63,202,67.33,Pass,Good
male,group D,associate's degree,standard,Not Completed,61,48,46,155,51.67,Pass,Average
male,group D,some college,free/reduced,Not Completed,49,57,46,152,50.67,Pass,Average
female,group C,some high school,standard,completed,44,51,55,150,50,Pass,Average
male,group D,some college,standard,Not Completed,67,64,70,201,67,Pass,Good
male,group B,high school,standard,Not Completed,79,60,65,204,68,Pass,Good
female,group B,bachelor's degree,standard,completed,66,74,81,221,73.67,Pass,Good
female,group C,high school,standard,Not Completed,75,88,85,248,82.67,Pass,Excellent
male,group D,some high school,standard,Not Completed,84,84,80,248,82.67,Pass,Excellent
male,group A,high school,standard,Not Completed,71,74,64,209,69.67,Pass,Good
female,group B,high school,free/reduced,completed,67,80,81,228,76,Pass,Good
female,group D,some high school,standard,completed,80,92,88,260,86.67,Pass,Excellent
male,group E,some college,standard,Not Completed,86,76,74,236,78.67,Pass,Good
female,group D,associate's degree,standard,Not Completed,76,74,73,223,74.33,Pass,Good
male,group D,high school,standard,Not Completed,41,52,51,144,48,Pass,Average
female,group D,associate's degree,free/reduced,completed,74,88,90,252,84,Pass,Excellent
female,group B,some high school,free/reduced,Not Completed,72,81,79,232,77.33,Pass,Good
female,group E,high school,standard,completed,74,79,80,233,77.67,Pass,Good
male,group B,high school,standard,Not Completed,70,65,60,195,65,Pass,Good
female,group B,bachelor's degree,standard,completed,65,81,81,227,75.67,Pass,Good
female,group D,associate's degree,standard,Not Completed,59,70,65,194,64.67,Pass,Good
female,group E,high school,free/reduced,Not Completed,64,62,68,194,64.67,Pass,Good
female,group B,high school,standard,Not Completed,50,53,55,158,52.67,Pass,Average
female,group D,some college,standard,completed,69,79,81,229,76.33,Pass,Good
male,group C,some high school,free/reduced,completed,51,56,53,160,53.33,Pass,Average
female,group A,high school,standard,completed,68,80,76,224,74.67,Pass,Good
female,group D,some college,standard,completed,85,86,98,269,89.67,Pass,Excellent
female,group A,associate's degree,standard,completed,65,70,74,209,69.67,Pass,Good
female,group B,some high school,standard,Not Completed,73,79,79,231,77,Pass,Good
female,group B,some college,standard,Not Completed,62,67,67,196,65.33,Pass,Good
male,group C,associate's degree,free/reduced,Not Completed,77,67,64,208,69.33,Pass,Good
male,group D,some high school,standard,Not Completed,69,66,61,196,65.33,Pass,Good
female,group D,associate's degree,free/reduced,Not Completed,43,60,58,161,53.67,Pass,Average
male,group D,associate's degree,standard,Not Completed,90,87,85,262,87.33,Pass,Excellent
male,group C,some college,free/reduced,Not Completed,74,77,73,224,74.67,Pass,Good
male,group C,some high school,standard,Not Completed,73,66,63,202,67.33,Pass,Good
female,group D,some college,free/reduced,Not Completed,55,71,69,195,65,Pass,Good
female,group C,high school,standard,Not Completed,65,69,67,201,67,Pass,Good
male,group D,associate's degree,standard,Not Completed,80,63,63,206,68.67,Pass,Good
female,group C,some high school,free/reduced,completed,50,60,60,170,56.67,Pass,Average
female,group C,some college,free/reduced,completed,63,73,71,207,69,Pass,Good
female,group B,bachelor's degree,free/reduced,Not Completed,77,85,87,249,83,Pass,Excellent
male,group C,some college,standard,Not Completed,73,74,61,208,69.33,Pass,Good
male,group D,associate's degree,standard,completed,81,72,77,230,76.67,Pass,Good
female,group C,high school,free/reduced,Not Completed,66,76,68,210,70,Pass,Good
male,group D,associate's degree,free/reduced,Not Completed,52,57,50,159,53,Pass,Average
female,group C,some college,standard,Not Completed,69,78,76,223,74.33,Pass,Good
female,group C,associate's degree,standard,completed,65,84,84,233,77.67,Pass,Good
female,group D,high school,standard,completed,69,77,78,224,74.67,Pass,Good
female,group B,some college,standard,completed,50,64,66,180,60,Pass,Good
female,group E,some college,standard,completed,73,78,76,227,75.67,Pass,Good
female,group C,some high school,standard,completed,70,82,76,228,76,Pass,Good
male,group D,associate's degree,free/reduced,Not Completed,81,75,78,234,78,Pass,Good
male,group D,some college,free/reduced,Not Completed,63,61,60,184,61.33,Pass,Good
female,group D,high school,standard,Not Completed,67,72,74,213,71,Pass,Good
male,group B,high school,standard,Not Completed,60,68,60,188,62.67,Pass,Good
male,group B,high school,standard,Not Completed,62,55,54,171,57,Pass,Average
female,group C,some high school,free/reduced,completed,29,40,44,113,37.67,Fail,Needs Improvement
male,group B,some college,standard,completed,62,66,68,196,65.33,Pass,Good
female,group E,master's degree,standard,completed,94,99,100,293,97.67,Pass,Excellent
male,group E,some college,standard,completed,85,75,68,228,76,Pass,Good
male,group D,associate's degree,free/reduced,Not Completed,77,78,73,228,76,Pass,Good
male,group A,high school,free/reduced,Not Completed,53,58,44,155,51.67,Pass,Average
male,group E,some college,free/reduced,Not Completed,93,90,83,266,88.67,Pass,Excellent
female,group C,associate's degree,standard,Not Completed,49,53,53,155,51.67,Pass,Average
female,group E,associate's degree,free/reduced,Not Completed,73,76,78,227,75.67,Pass,Good
female,group C,bachelor's degree,free/reduced,completed,66,74,81,221,73.67,Pass,Good
female,group D,associate's degree,standard,Not Completed,77,77,73,227,75.67,Pass,Good
female,group C,some high school,standard,Not Completed,49,63,56,168,56,Pass,Average
female,group D,some college,free/reduced,Not Completed,79,89,86,254,84.67,Pass,Excellent
female,group C,associate's degree,standard,completed,75,82,90,247,82.33,Pass,Excellent
female,group A,bachelor's degree,standard,Not Completed,59,72,70,201,67,Pass,Good
female,group D,associate's degree,standard,completed,57,78,79,214,71.33,Pass,Good
male,group C,high school,free/reduced,Not Completed,66,66,59,191,63.67,Pass,Good
female,group E,bachelor's degree,standard,completed,79,81,82,242,80.67,Pass,Excellent
female,group B,some high school,standard,Not Completed,57,67,72,196,65.33,Pass,Good
male,group A,bachelor's degree,standard,completed,87,84,87,258,86,Pass,Excellent
female,group D,some college,standard,Not Completed,63,64,67,194,64.67,Pass,Good
female,group B,some high school,free/reduced,completed,59,63,64,186,62,Pass,Good
male,group A,bachelor's degree,free/reduced,Not Completed,62,72,65,199,66.33,Pass,Good
male,group D,high school,standard,Not Completed,46,34,36,116,38.67,Fail,Needs Improvement
male,group C,some college,standard,Not Completed,66,59,52,177,59,Pass,Average
male,group D,high school,standard,Not Completed,89,87,79,255,85,Pass,Excellent
female,group D,associate's degree,free/reduced,completed,42,61,58,161,53.67,Pass,Average
male,group C,some college,standard,completed,93,84,90,267,89,Pass,Excellent
female,group E,some high school,standard,completed,80,85,85,250,83.33,Pass,Excellent
female,group D,some college,standard,Not Completed,98,100,99,297,99,Pass,Excellent
male,group D,master's degree,standard,Not Completed,81,81,84,246,82,Pass,Excellent
female,group B,some high school,standard,completed,60,70,74,204,68,Pass,Good
female,group B,associate's degree,free/reduced,completed,76,94,87,257,85.67,Pass,Excellent
male,group C,associate's degree,standard,completed,73,78,72,223,74.33,Pass,Good
female,group C,associate's degree,standard,completed,96,96,99,291,97,Pass,Excellent
female,group C,high school,standard,Not Completed,76,76,74,226,75.33,Pass,Good
male,group E,associate's degree,free/reduced,completed,91,73,80,244,81.33,Pass,Excellent
female,group C,some college,free/reduced,Not Completed,62,72,70,204,68,Pass,Good
male,group D,some high school,free/reduced,completed,55,59,59,173,57.67,Pass,Average
female,group B,some high school,free/reduced,completed,74,90,88,252,84,Pass,Excellent
male,group C,high school,standard,Not Completed,50,48,42,140,46.67,Pass,Average
male,group B,some college,standard,Not Completed,47,43,41,131,43.67,Pass,Average
male,group E,some college,standard,completed,81,74,71,226,75.33,Pass,Good
female,group E,associate's degree,standard,completed,65,75,77,217,72.33,Pass,Good
male,group E,some high school,standard,completed,68,51,57,176,58.67,Pass,Average
female,group D,high school,free/reduced,Not Completed,73,92,84,249,83,Pass,Excellent
male,group C,some college,standard,Not Completed,53,39,37,129,43,Fail,Average
female,group B,associate's degree,free/reduced,completed,68,77,80,225,75,Pass,Good
male,group A,some high school,free/reduced,Not Completed,55,46,43,144,48,Pass,Average
female,group C,some college,standard,completed,87,89,94,270,90,Pass,Excellent
male,group D,some high school,standard,Not Completed,55,47,44,146,48.67,Pass,Average
female,group E,some college,free/reduced,Not Completed,53,58,57,168,56,Pass,Average
male,group C,master's degree,standard,Not Completed,67,57,59,183,61,Pass,Good
male,group C,associate's degree,standard,Not Completed,92,79,84,255,85,Pass,Excellent
female,group B,some college,free/reduced,completed,53,66,73,192,64,Pass,Good
male,group D,associate's degree,standard,Not Completed,81,71,73,225,75,Pass,Good
male,group C,high school,free/reduced,Not Completed,61,60,55,176,58.67,Pass,Average
male,group D,bachelor's degree,standard,Not Completed,80,73,72,225,75,Pass,Good
